3.90	270.9	2.24	832.9	25	5.7
4.40	272.0	1.80	832.9	25	5.0
5.50	264.8	1.88	832.9	25	5.1
5.30	259.5	1.94	832.9	25	4.6
5.10	262.3	0.92	832.9	26	3.6
4.70	266.8	-0.57	832.9	29	2.9
4.60	268.4	0.45	832.9	28	4.4
4.60	264.6	0.90	832.9	27	5.8
4.30	263.3	2.36	832.9	24	8.1
3.90	268.0	2.33	832.9	24	8.6
4.30	275.5	2.51	832.6	23	7.1
4.20	271.8	2.69	832.0	23	4.9
4.10	243.0	2.48	832.0	23	3.1
4.20	258.2	0.13	832.0	27	2.6
4.20	263.3	0.37	832.0	27	1.9
5.10	261.3	0.42	832.0	27	1.0
4.70	250.2	0.33	832.0	27	0.7
4.60	254.1	0.17	832.0	27	1.4
4.60	250.7	0.19	832.0	27	3.0
4.30	235.3	0.52	832.0	26	1.9
3.90	229.9	0.98	832.0	25	1.1
4.30	229.5	1.40	832.0	24	0.7
4.20	221.6	1.34	832.0	24	1.1
4.10	216.7	1.13	832.0	24	0.6
4.20	219.4	1.42	832.0	24	0.7
4.20	216.4	1.59	832.0	23	0.2
5.40	204.9	2.22	832.5	22	0.2
5.60	212.7	2.20	832.9	22	0.3
5.60	213.6	2.69	832.9	22	0.2
6.20	207.5	3.90	832.9	21	0.1
5.90	219.7	3.40	832.9	23	0.2
6.10	212.3	4.21	832.9	21	0.7
6.20	201.1	3.52	832.0	23	1.4
6.80	212.0	3.75	832.0	25	1.3
5.90	220.7	4.14	832.0	24	2.2
6.50	216.9	4.17	832.0	23	4.7
6.30	209.5	4.36	831.2	23	7.4
5.60	216.7	4.48	831.0	23	8.4
6.20	217.4	4.85	831.0	21	7.8
6.60	214.5	4.82	830.7	22	7.6
7.00	213.2	5.25	830.0	22	7.1
7.20	216.1	5.52	830.0	22	9.0
7.10	213.4	5.35	830.0	21	10.7
6.70	206.2	5.30	829.0	22	12.8
6.70	204.8	5.58	829.0	24	13.4
6.90	203.5	5.71	829.0	24	12.6
7.20	197.3	5.82	829.0	24	15.2
7.00	209.7	6.17	829.0	23	17.8
6.80	207.3	6.04	829.0	23	18.0
7.00	199.2	6.14	829.0	23	18.2
7.40	201.6	6.15	829.0	23	20.4
7.90	198.9	6.00	829.0	23	23.7
8.10	197.0	5.87	829.0	25	26.0
8.20	198.4	5.59	829.0	27	26.7
8.20	202.2	5.44	829.0	29	24.1
8.10	206.9	5.23	829.0	30	22.1
8.00	212.3	4.84	829.0	32	23.1
7.60	212.5	4.21	829.0	33	26.3
7.90	213.2	3.54	829.0	35	29.8
7.90	214.4	3.30	829.0	36	32.6
7.60	221.4	2.96	829.0	36	37.0
7.40	227.0	2.82	829.0	37	38.6
7.10	234.8	2.74	829.0	38	41.8
6.90	241.5	2.67	829.0	38	45.7
7.00	228.2	2.49	829.0	39	51.0
6.30	204.3	2.33	829.0	40	56.9
6.50	189.9	2.36	829.0	41	54.0
6.20	203.2	2.24	829.0	42	50.1
6.20	210.3	2.10	829.0	44	52.7
6.30	212.8	1.77	829.0	45	52.5
6.10	215.3	1.67	829.0	47	50.6
6.20	215.4	1.58	829.0	47	50.3
5.90	215.1	1.54	829.0	48	48.6
5.80	213.1	1.53	829.0	49	46.0
5.70	212.4	1.38	829.0	51	43.6
5.30	218.1	1.30	829.0	52	42.5
5.10	214.9	1.07	829.0	53	44.1
5.10	211.8	1.02	829.0	53	45.2
4.80	215.9	0.69	829.0	55	44.2
4.90	217.5	0.76	829.0	55	49.7
4.80	216.9	1.01	829.0	54	53.1
4.80	215.6	1.17	829.0	54	49.0
5.00	212.5	0.97	829.0	55	49.4
5.40	211.9	0.92	829.0	57	48.8
5.20	212.1	0.86	829.0	57	51.9
5.10	206.4	0.28	829.0	58	51.9
5.20	208.6	0.21	829.0	59	51.5
5.40	210.6	0.10	829.0	60	51.0
5.70	208.6	0.00	828.3	61	50.6
5.90	198.0	-0.02	828.6	62	47.5
5.60	191.1	0.27	828.7	62	47.9
5.80	201.5	0.77	828.3	61	47.7
5.30	210.3	0.56	827.9	62	50.6
4.70	213.9	0.39	827.9	62	46.4
4.70	218.1	0.33	827.9	63	38.7
4.60	223.3	0.22	827.9	64	36.5
4.90	223.7	-0.17	827.9	65	34.8
5.00	225.2	-0.32	827.9	65	30.9
4.90	225.6	-0.60	827.9	66	31.6
4.80	216.0	-0.48	827.9	66	29.8
4.70	211.8	-0.32	827.9	66	29.6
4.70	217.9	-0.21	827.9	66	30.4
5.00	220.7	-0.37	827.9	67	29.9
5.00	217.5	-0.48	827.7	67	30.6
4.70	215.6	-0.65	827.6	68	34.3
4.80	215.4	-0.92	827.9	68	39.8
5.40	209.3	-1.17	827.9	69	40.3
